LOS,Freq
0,17739
1,78172
2,73576
3,75197
4,81391
5,97829
6,85017
7,103113
8,102630
9,91865
10,94929
11,94296
12,91301
13,96975
14,113537
15,98725
16,84037
17,81523
18,80259
19,82522
20,129409
21,81036
22,67545
23,56439
24,52060
25,49277
26,46105
27,48822
28,55566
29,53535
30,46669
31,39023
32,34327
33,31336
34,32219
35,35308
36,31750
37,27048
38,25641
39,24328
40,23018
41,23671
42,26071
43,23974
44,20046
45,18644
46,17311
47,16249
48,17050
49,18200
50,16254
51,14252
52,13817
53,12963
54,12510
55,13235
56,14422
57,13122
58,11494
59,11071
60,10916
61,9748
62,9990
63,10814
64,9603
65,8608
66,8280
67,7961
68,7580
69,8140
70,8560
71,7856
72,7017
73,6776
74,6600
75,6376
76,6601
77,7033
78,6481
79,5773
80,5850
81,5757
82,5498
83,5703
84,5824
85,5507
86,5177
87,4956
88,4879
89,4676
90,4947
91,5066
92,4715
93,4154
94,4178
95,4082
96,4047
97,4300
98,4820
99,6095
100,11798
101,4085
102,3366
103,3235
104,3195
105,3396
106,3074
107,2825
108,2837
109,2811
110,2844
111,2837
112,2955
113,2872
114,2699
115,2641
116,2572
117,2600
118,2619
119,2680
120,2553
121,2431
122,2441
123,2327
124,2370
125,2425
126,2423
127,2333
128,2222
129,2263
130,2198
131,2076
132,2239
133,2367
134,2327
135,2108
136,2066
137,2080
138,2081
139,2109
140,2168
141,2085
142,1891
143,1966
144,1909
145,1889
146,1917
147,1990
148,1841
149,1844
150,1832
151,1786
152,1758
153,1802
154,1944
155,1804
156,1699
157,1640
158,1686
159,1678
160,1778
161,1816
162,1557
163,1589
164,1641
165,1637
166,1680
167,1688
168,1703
169,1606
170,1517
171,1537
172,1555
173,1546
174,1604
175,1661
176,1497
177,1459
178,1458
179,1472
180,1407
181,1527
182,1580
183,1504
184,1457
185,1369
186,1376
187,1390
188,1432
189,1434
190,1446
191,1291
192,1350
193,1435
194,1398
195,1376
196,1359
197,1379
198,1196
199,1315
200,1294
201,1292
202,1327
203,1282
204,1257
205,1288
206,1226
207,1209
208,1247
209,1306
210,1315
211,1208
212,1180
213,1178
214,1173
215,1143
216,1249
217,1246
218,1188
219,1116
220,1143
221,1149
222,1089
223,1207
224,1206
225,1142
226,1095
227,1085
228,1099
229,1057
230,1140
231,1118
232,1073
233,1071
234,1081
235,1096
236,1058
237,1085
238,1131
239,1109
240,1047
241,1088
242,1055
243,1013
244,1003
245,1135
246,992
247,1009
248,947
249,1030
250,956
251,999
252,1003
253,1021
254,925
255,944
256,999
257,944
258,955
259,1058
260,915
261,933
262,950
263,948
264,957
265,964
266,964
267,948
268,873
269,902
270,916
271,882
272,919
273,1001
274,954
275,884
276,888
277,848
278,891
279,886
280,868
281,908
282,830
283,877
284,846
285,865
286,838
287,850
288,838
289,808
290,853
291,832
292,828
293,836
294,886
295,794
296,787
297,777
298,859
299,868
300,794
301,841
302,806
303,826
304,789
305,864
306,722
307,840
308,870
309,730
310,782
311,782
312,683
313,768
314,765
315,823
316,741
317,725
318,764
319,685
320,756
321,738
322,775
323,783
324,675
325,731
326,756
327,701
328,764
329,773
330,731
331,747
332,722
333,679
334,666
335,723
336,721
337,723
338,660
339,675
340,684
341,659
342,755
343,727
344,669
345,643
346,649
347,614
348,674
349,728
350,720
351,669
352,632
353,617
354,651
355,628
356,637
357,722
358,661
359,656
360,662
361,644
362,664
363,674
364,711
365,679
366,663
367,582
368,605
369,622
370,672
371,697
